'year','subsidence_threshold','An Giang','Bạc Liêu','Bến Tre','Cần Thơ','Cà Mau','Đồng Tháp','Hậu Giang','Kiên Giang','Long An','Sóc Trăng','Tiền Giang','Trà Vinh','Vĩnh Long','Up stream zone','Coastal zone','Midle zone','total_debt'
2020,0.1,3695.6625264375975,59174.02487625419,18144.913765472284,1026.6200560324985,106377.89376539172,1154.8148868094977,1955.9090127449506,25191.431658751117,5748.935668644125,24768.149192164852,801.9231454519975,0.0,0.0,10020.687525436362,211356.25251564232,26663.338513145543,248040.27855456842
2020,0.2,3838.4349739590975,59531.33668279059,18174.87342247476,934.0982273259996,106500.89034386541,1185.3547193119975,1969.2781333529483,25655.467106943615,5576.8316878481155,24779.497048024805,810.678181769998,0.0,0.0,10195.368573694914,211966.46550058387,26794.906453458498,248956.74052808346
2020,0.3,3811.8674270560987,59730.74764319369,18093.87983172631,994.5831815709998,106009.21731224579,1104.279029847998,2048.5344931144436,25218.6533398991,5614.824057868626,24611.94584781684,734.2555852889959,0.0,0.0,9950.659072142904,211004.29036448375,27017.838313072538,247972.78775004233
2020,0.15,3850.588561615595,59399.16629957385,18271.305126162293,959.7009258655,105959.39613784243,1057.1496846304979,2042.7173298129449,25201.005847205142,5737.919689181624,24783.142638600966,873.1121817559983,0.0,0.0,9988.245955352839,211297.6003185306,26849.358148433006,248135.20442266058
2030,0.2,12556.977219670758,209995.1775820885,78196.33729835963,3385.571189138609,448893.56882834004,4003.596776392498,6921.295707886373,154221.9131447023,26325.785294986246,102714.98732150113,2834.149118606653,0.0,0.0,33230.78463821414,923484.8442076799,93333.73063684603,1050049.3594846805
2030,0.15,12556.346632191327,209566.59227802034,78091.133873167,3455.3216489511133,447458.902056036,4030.512667982998,7118.149340326389,154880.47477655028,27132.7246587025,101575.26115287383,2947.73890077118,0.0,0.0,33223.84041834892,921923.1210507822,93666.19651749637,1048813.157988564
2030,0.3,12505.656886338915,209171.7461776579,78088.9558459258,3296.233845532106,446473.5170939379,4033.610438566996,6980.578100491869,154474.64583620272,26715.38664792687,101431.48296291612,2574.7896908660987,0.0,0.0,32631.17360732212,920124.1597280935,92991.27019199514,1045746.6035293303
2030,0.1,12284.949634595927,210995.09291096329,78417.88860411645,3533.1898042501116,450322.8407076887,4073.802392462996,6996.722149317384,152521.24162455584,27013.55697755834,102448.86355974645,2794.7921915386464,0.0,0.0,33047.04962570456,924608.6609992619,93747.2299329057,1051402.9405597884
2040,0.3,20544.714537628188,353923.1806834327,137038.81476585308,5585.932207850064,788134.468263055,6734.373937769979,11881.437584729627,308648.18666145194,48959.76741256763,178065.6707776313,4395.499101538545,0.0,0.0,53597.52448746917,1653285.1782240695,157029.3432223185,1863912.0459390045
2040,0.2,20483.657402149045,354757.5954807957,137762.221847269,5603.27915276306,790409.466368354,6780.398839427479,11738.0346466761,307490.2941205008,48569.72232915004,179360.99600854132,4794.676959718064,0.0,0.0,54407.55606578052,1655963.0372084097,157379.74988153315,1867750.3431609161
2040,0.1,20023.23686961364,355997.0526268821,137258.2316286777,5970.9559819340475,793462.6413469822,6929.437980036978,11807.186495747133,304773.4224639231,49629.265948613356,179180.3575099461,4648.501983150058,0.0,0.0,53948.614340506705,1658120.5516848862,157611.1248105163,1869680.2908411063
2040,0.15,20299.567046568514,356037.3978989889,137568.2248804097,5774.323944928055,791689.4522880283,6915.909084654976,11897.527893301605,307625.5165541307,49280.20688879697,178292.5143844528,4896.494486103548,0.0,0.0,53576.93175525556,1659070.650328757,157629.5532667229,1870277.1353559352
2050,0.2,27284.090184874287,482383.64938492986,189620.59777005893,7617.471894325524,1092534.004490146,9132.725526984446,16077.90796375245,452688.1360002218,68585.85977297951,248113.918567508,6493.995794904448,0.0,0.0,71867.76799093257,2314663.3975201515,214001.1918422326,2600532.3573530023
2050,0.3,27131.289592466805,480206.58576681477,189237.70700926508,7549.435039388514,1090604.5139567943,9275.67636235395,16097.329100958521,455309.761588813,68877.3530060528,245392.39128567837,5990.50418546594,0.0,0.0,71053.00574920696,2311445.4279199736,213174.11322746798,2595672.5468962826
2050,0.15,26906.19930439312,483792.96237192303,189073.7118447564,7907.537036499494,1093814.116855438,9410.727839698957,16166.407053984385,454080.11718020664,69113.01239355821,245763.6904975998,6625.265795219946,0.0,0.0,70725.9917785544,2317992.8477871222,213934.90861020374,2602653.748175669
2050,0.1,26564.590349722745,482873.68314144574,189368.67174700063,8017.008277375018,1096459.5296391586,9371.252632390953,16083.789351361485,450499.0001551397,69529.29502474789,247301.68804419084,6329.079183787458,0.0,0.0,71323.35513541025,2317469.8200457306,213604.4123678294,2602397.587548725
